study	patient	gene	n_cells	detection_fraction	mean_log_expression
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CRB3	530	0.5094339622641509	0.36829978227615356
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	F11R	530	0.47547169811320755	0.34427857398986816
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	PALS1	530	0.12264150943396226	0.07023793458938599
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	PARD3	530	0.2	0.1215834692120552
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	PARD6A	530	0.14528301886792452	0.08239226788282394
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	PARD6B	530	0.4660377358490566	0.34928640723228455
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	PARD6G	530	0.033962264150943396	0.019504068419337273
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	PATJ	530	0.47924528301886793	0.3661511242389679
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	PRKCI	530	0.3150943396226415	0.20398801565170288
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN1	550	0.52	0.24635328352451324
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN10	550	0.007272727272727273	0.00610777735710144
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN11	550	0.007272727272727273	0.003033714834600687
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN12	550	0.29818181818181816	0.1083655133843422
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN14	550	0.02727272727272727	0.007318852934986353
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN15	550	0.19818181818181818	0.07880841195583344
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN16	550	0.02	0.006641044747084379
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN17	550	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN18	550	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN19	550	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN2	550	0.07818181818181819	0.037719059735536575
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN20	550	0.0018181818181818182	0.0005336487083695829
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN22	550	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN23	550	0.05454545454545454	0.018223773688077927
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN3	550	0.9927272727272727	1.7794629335403442
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN4	550	0.9745454545454545	1.61624276638031
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN5	550	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN6	550	0.0036363636363636364	0.0008392149466089904
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN7	550	0.9672727272727273	1.406838297843933
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN8	550	0.0036363636363636364	0.0023734697606414557
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CLDN9	550	0.1	0.0364067479968071
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	CRB3	550	0.5054545454545455	0.21193993091583252
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	F11R	550	0.5472727272727272	0.2564195692539215
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	PALS1	550	0.3290909090909091	0.13135650753974915
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	PARD3	550	0.3509090909090909	0.13374437391757965
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	PARD6A	550	0.08	0.024654854089021683
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	PARD6B	550	0.4254545454545455	0.18411053717136383
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	PARD6G	550	0.0018181818181818182	0.00036941550206393003
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	PATJ	550	0.62	0.33740124106407166
