hops	restriction	score	component	n_genes	endpoint	n	effect	low	high	p	n_positive	loo_min	loo_max	q
5	all_tumour	mean_gene_z	Junction	30	near_minus_deep	6	0.03450676905671764	-0.126252683549791	0.2602709720984753	0.875	3.0	-0.07031679618415694	0.08123663588636208	0.875
5	all_tumour	mean_gene_z	Junction	30	HGP_near	6	-0.0025310313421670685	-0.22454977643283575	0.18666514386997288	1.0	NA	-0.07554638138149755	0.11483428676681445	1.0
5	all_tumour	mean_gene_z	Junction	30	HGP_localization	6	-0.14517884024171523	-0.5919951901672776	0.176340064971302	0.9	NA	-0.29829821737625517	0.08058536280004239	0.9
5	all_tumour	mean_gene_z	HRC	87	near_minus_deep	6	-0.19282082967434722	-0.3401846615278927	-0.06623325993827746	0.0625	1.0	-0.23249175151914905	-0.12972076126295243	0.25
5	all_tumour	mean_gene_z	HRC	87	HGP_near	6	0.037182956363035535	-0.7434058609923831	0.7131571136778361	0.9	NA	-0.17976292691059353	0.46096343152827407	1.0
5	all_tumour	mean_gene_z	HRC	87	HGP_localization	6	-0.1612392842457699	-0.39347278528568236	0.11508776820694762	0.4	NA	-0.30072640991921695	-0.04379893427872536	0.9
5	all_tumour	mean_logCPM	Claudin	21	HGP_tumour	6	-0.06148989370763025	-0.610886573014086	0.48807619596252905	1.0	NA	-0.3362729385427099	0.21320844594559785	1.0
5	all_tumour	mean_logCPM	Polarity	8	HGP_tumour	6	-0.10148132602973181	-0.514060664466709	0.31109801240724444	0.7	NA	-0.2832869408213181	0.08016805298665108	1.0
5	all_tumour	mean_logCPM	Junction	30	HGP_tumour	6	-0.06769448304869652	-0.33817666837471094	0.19439470543161486	0.8	NA	-0.20150716252786927	0.07989859703846847	1.0
5	all_tumour	mean_logCPM	HRC	87	HGP_tumour	6	0.1917987098977374	-0.4538519619345651	0.837449381730039	0.6	NA	-0.05159993627207271	0.5049252903579449	1.0
5	all_tumour	mean_gene_z	Claudin	21	HGP_tumour	6	0.00032615071862414824	-0.25155369843378156	0.2522059998710298	1.0	NA	-0.08306259853945608	0.11794305124254437	1.0
5	all_tumour	mean_gene_z	Polarity	8	HGP_tumour	6	-0.2528147594481643	-0.8673997887447751	0.33619385350565434	0.5	NA	-0.4982688750840504	0.002676509804185212	0.9333333333333332
5	all_tumour	mean_gene_z	Junction	30	HGP_tumour	6	-0.060955410038275704	-0.20666943099573434	0.08475861091918296	0.7	NA	-0.12828249482896695	0.0069450227733681875	0.9333333333333332
5	all_tumour	mean_gene_z	HRC	87	HGP_tumour	6	0.15483314339708595	-0.612151461814683	0.8334941361835908	0.7	NA	-0.08857594133080009	0.5383254460029705	0.9333333333333332
